LOAN_NO,MEMBER_NAME,MOBILE_NUMBER,STATE,DISTRICT,RURAL_URBAN,PRODUCT,DISBURSEMENT_DATE,TENURE,TOTAL_INSTAL,PRINCIPAL_TOTAL,OUTSTANDING_PRINCIPAL,PRIN_COLLECTED,INT_COLLECTED,LAST_EMI,TOTAL_ARREAR,Total_EMI_Paid_Count,LAST_COLL_DATE,LAST_COLL_AMOUNT,OD_DAYS,OD_BUCKET,STATUS,TOTAL_INCOME,TOTAL_EXPENSE,FOIR,AGE,CYCLE,PAID_WITHIN_30D,AMOUNT_PAID_30D
LN1000001,Rani Singh,8257332508,Madhya Pradesh,Indore,RURAL,Agriculture Allied,2022-10-08,18,18,30000.00,6667.00,23333.00,4200.00,2267.00,9068.00,14,2023-11-19,2267.00,118,91-180,Active,,,,38,5,1,2267.00
LN1000002,Sunita Sharma,6805192563,Madhya Pradesh,Bhopal,RURAL,Agriculture Allied,2023-07-22,18,18,75000.00,50000.00,25000.00,4500.00,5667.00,11334.00,6,2024-02-12,5667.00,32,31-60,Active,47285,23372,0.6141,32,4,1,5667.00
LN1000003,Shanti Sharma,6693873814,Maharashtra,Solapur,URBAN,JLG,2021-04-16,36,36,50000.00,53343.00,48611.00,8750.00,2389.00,2389.00,35,2024-03-12,2389.00,4,0-30,Active,18879,13665,0.8504,56,2,1,2389.00
LN1000004,Aarti Mahto,9606520193,Rajasthan,Kota,RURAL,Micro-Enterprise,2022-08-15,24,24,40000.00,10000.00,30000.00,5400.00,2467.00,2467.00,18,2024-02-27,2467.00,14,0-30,Active,36595,23616,0.7127,32,1,1,2467.00
LN1000005,Rajesh Pandey,7839755726,Uttar Pradesh,Bareilly,RURAL,Individual Loan,2023-03-22,24,24,30000.00,16250.00,13750.00,2475.00,1850.00,1850.00,11,2024-03-02,1850.00,20,0-30,Active,31319,23696,0.8157,35,1,1,1850.00
LN1000006,Sunita Das,9917348031,Uttar Pradesh,Prayagraj,RURAL,JLG,2023-05-12,12,12,60000.00,15000.00,45000.00,8100.00,6200.00,6200.00,9,2024-03-17,6200.00,9,0-30,Active,43618,36851,0.9870,27,1,1,6200.00
LN1000007,Lalita Singh,8458662226,West Bengal,Malda,RURAL,Micro-Enterprise,2022-11-20,24,24,50000.00,18750.00,31250.00,5625.00,3083.00,3083.00,15,2024-03-10,3083.00,10,0-30,Active,23465,16725,0.8442,32,1,1,3083.00
LN1000008,Sarita Begum,7740844861,Rajasthan,Ajmer,RURAL,JLG,2021-08-01,36,36,50000.00,18056.00,31944.00,5750.00,2389.00,21501.00,23,2023-06-26,2389.00,262,181-360,Write-Off,42283,35645,0.8995,39,5,0,0.00
LN1000009,Mukesh Kaur,6555888342,Maharashtra,Solapur,URBAN,Agriculture Allied,2022-05-22,24,24,75000.00,15625.00,59375.00,10688.00,4625.00,13875.00,19,2023-12-28,4625.00,71,61-90,Active,61877,42180,0.7564,33,5,1,4625.00
LN1000010,Sunita Kaur,8960347699,Rajasthan,Kota,RURAL,JLG,2023-12-08,18,18,25000.00,22222.00,2778.00,500.00,1889.00,1889.00,2,2024-02-26,1889.00,14,0-30,Active,24796,17354,0.7761,40,3,1,1889.00
LN1000011,Urmila Verma,6554137503,West Bengal,Nadia,RURAL,Individual Loan,2023-12-31,18,18,25000.00,22222.00,2778.00,500.00,1889.00,1889.00,2,2024-02-08,1889.00,29,0-30,Active,19939,15348,0.8645,23,2,1,2378.00
LN1000012,Rekha Khatun,8816745084,Madhya Pradesh,Ujjain,RURAL,JLG,2023-12-13,12,12,25000.00,20833.00,4167.00,750.00,2583.00,2583.00,2,2024-02-23,2583.00,21,0-30,Active,,,,36,2,1,3131.00
LN1000013,Shanti Pandey,7566524260,Tamil Nadu,Thanjavur,RURAL,Individual Loan,2022-07-31,36,36,40000.00,23333.00,16667.00,3000.00,1911.00,9555.00,15,2023-10-27,1911.00,140,91-180,Active,53328,28740,0.5748,44,4,0,0.00
LN1000014,Lalita Tiwari,9471920572,West Bengal,Nadia,URBAN,Individual Loan,2023-07-27,36,36,60000.00,48333.00,11667.00,2100.00,2867.00,2867.00,7,2024-02-21,2867.00,29,0-30,Active,51915,37466,0.7769,28,5,1,2867.00
LN1000015,Sangeeta Kaur,9707728181,Odisha,Balasore,RURAL,Individual Loan,2023-09-08,24,24,25000.00,19792.00,5208.00,937.00,1542.00,1542.00,5,2024-03-05,1542.00,4,0-30,Active,19237,7979,0.4949,31,4,1,2104.00
LN1000016,Anil Tiwari,6664496655,Uttar Pradesh,Kanpur,RURAL,Micro-Enterprise,2023-01-29,24,24,50000.00,27083.00,22917.00,4125.00,3083.00,9249.00,11,2024-01-08,3083.00,64,61-90,Active,17939,7443,0.5868,33,2,1,3971.00
LN1000017,Santosh Verma,6761239403,Tamil Nadu,Tiruchirappalli,RURAL,Agriculture Allied,2023-11-05,24,24,25000.00,25000.00,0.00,0.00,1542.00,7710.00,0,2023-11-02,1542.00,129,91-180,Active,22275,14444,0.7177,46,2,0,0.00
LN1000018,Meena Kumari,8599887459,Uttar Pradesh,Bareilly,RURAL,Individual Loan,2023-06-23,12,12,100000.00,33333.00,66667.00,12000.00,10333.00,10333.00,8,2024-03-10,10333.00,2,0-30,Active,58139,35181,0.7828,27,4,1,10333.00
LN1000019,Santosh Kaur,9290495798,Odisha,Khordha,RURAL,Micro-Enterprise,2022-02-24,24,24,30000.00,6250.00,23750.00,4275.00,1850.00,9250.00,19,2023-11-15,1850.00,122,91-180,Active,27609,17247,0.6917,22,5,1,1850.00
LN1000020,Meena Patel,8158287597,Rajasthan,Ajmer,RURAL,Agriculture Allied,2023-07-04,12,12,60000.00,25000.00,35000.00,6300.00,6200.00,12400.00,7,2024-01-31,6200.00,46,31-60,Active,,,,47,1,1,6200.00
LN1000021,Lalita Das,7656293556,Rajasthan,Kota,RURAL,Individual Loan,2023-05-07,18,18,50000.00,33333.00,16667.00,3000.00,3778.00,15112.00,6,2023-12-04,3778.00,101,91-180,Active,15412,12479,1.0548,23,3,1,3778.00
LN1000022,Kiran Manjhi,8985796695,Rajasthan,Udaipur,URBAN,Agriculture Allied,2023-09-30,36,36,30000.00,30000.00,0.00,0.00,1433.00,18629.00,0,2023-03-09,1433.00,365,360+,Active,37688,30731,0.8534,45,2,0,0.00
LN1000023,Lalita Das,6315441273,Madhya Pradesh,Jabalpur,RURAL,Agriculture Allied,2022-12-20,18,18,75000.00,16667.00,58333.00,10500.00,5667.00,5667.00,14,2024-02-29,5667.00,21,0-30,Active,38345,21918,0.7194,52,4,1,5667.00
LN1000024,Aarti Khatun,8167109409,Maharashtra,Solapur,RURAL,Individual Loan,2022-04-23,36,36,40000.00,15556.00,24444.00,4400.00,1911.00,1911.00,22,2024-02-11,1911.00,30,0-30,Active,42330,28937,0.7288,55,4,1,1911.00
LN1000025,Rekha Pandey,022-5667597,Bihar,Purnia,RURAL,JLG,2023-07-09,18,18,75000.00,45833.00,29167.00,5250.00,5667.00,5667.00,7,2024-03-02,5667.00,23,0-30,Active,57552,38043,0.7595,36,3,1,5667.00
LN1000026,Pooja Kumari,8353743318,Rajasthan,Udaipur,RURAL,Individual Loan,2022-08-19,18,18,60000.00,36667.00,23333.00,4200.00,4533.00,49863.00,7,2023-05-07,4533.00,305,181-360,NPA,30994,26103,0.9884,40,5,1,4533.00
LN1000027,Rani Khatun,9301493985,Rajasthan,Jodhpur,RURAL,Micro-Enterprise,2023-02-23,12,12,40000.00,10000.00,30000.00,5400.00,4133.00,12399.00,9,2024-01-09,4133.00,70,61-90,Active,43516,35027,0.8999,46,3,0,0.00
LN1000028,Sarita Tiwari,8509370478,Madhya Pradesh,Gwalior,RURAL,Micro-Enterprise,2023-05-11,12,12,25000.00,25907.00,16667.00,3000.00,2583.00,5166.00,8,2024-02-02,2583.00,40,31-60,Active,,,,38,4,1,1720.00
LN1000029,Kavita Manjhi,7654337641,Odisha,Mayurbhanj,RURAL,JLG,2022-10-20,18,18,100000.00,55556.00,44444.00,8000.00,7556.00,68004.00,8,2023-06-23,7556.00,264,181-360,Active,33804,15992,0.6966,55,3,1,7556.00
